date,open,high,low,close,volume,oi
2004-12-21T00:00:00+05:30,155.69,157.18,155.47,156.65,3458512,0
2004-12-22T00:00:00+05:30,156.94,156.94,151.39,152.64,6001712,0
2004-12-23T00:00:00+05:30,153.57,153.57,150.78,151.13,3948912,0
2004-12-24T00:00:00+05:30,151.76,156.56,150.35,156.06,6661856,0
2004-12-27T00:00:00+05:30,156.32,158.16,155.36,156.38,4400504,0
2004-12-28T00:00:00+05:30,156.56,161.73,155.85,161.16,9614448,0
2004-12-29T00:00:00+05:30,162.09,164.55,161.63,162.5,6633224,0
2004-12-30T00:00:00+05:30,162.22,163.45,159,159.6,5626792,0
2004-12-31T00:00:00+05:30,160.01,164.78,159.6,164.37,4899312,0
2010-01-04T00:00:00+05:30,371.61,373.63,368.78,370.06,1963682,0
2010-01-05T00:00:00+05:30,371.71,373.95,367.55,370.16,2014488,0
2010-01-06T00:00:00+05:30,370.16,370.33,360.88,361.79,3349176,0
2010-01-07T00:00:00+05:30,362.11,364.03,350.05,351.72,6474892,0
2010-01-08T00:00:00+05:30,352.51,353.74,342.91,344.53,6048178,0
2010-01-11T00:00:00+05:30,346.6,354.53,344.83,351.62,4318408,0
2010-01-12T00:00:00+05:30,360.38,371.22,357.92,369.27,9027690,0
2010-01-13T00:00:00+05:30,366.78,392.09,366.61,388.22,10910272,0
2010-01-14T00:00:00+05:30,393.1,393.1,378.77,383.94,10327614,0
2010-01-15T00:00:00+05:30,391.89,393.67,380.2,389.63,7945008,0
2010-01-18T00:00:00+05:30,393.86,408.14,390.42,394.95,7261084,0
2010-01-19T00:00:00+05:30,394.95,394.95,383.35,384.36,5154850,0
2010-01-20T00:00:00+05:30,390.02,390.02,379.54,383.72,4347054,0
2010-01-21T00:00:00+05:30,380.2,389.9,378.06,379.41,5089504,0
2010-01-22T00:00:00+05:30,374.66,376.63,366.64,373.11,7574990,0
2010-01-25T00:00:00+05:30,372.94,376.88,364.89,372.3,3008286,0
2010-01-27T00:00:00+05:30,369.25,374.02,364.4,365.95,4844398,0
2010-01-28T00:00:00+05:30,369,373.16,358.27,365.18,6537196,0
2010-01-29T00:00:00+05:30,361.37,364.22,350.61,362.45,5473326,0
2010-02-01T00:00:00+05:30,361.54,375.55,354.48,367.35,3378012,0
2010-02-02T00:00:00+05:30,371.71,375.47,361.86,363.53,4739188,0
2010-02-03T00:00:00+05:30,366.29,372.64,362.11,370.7,2977676,0
2010-02-04T00:00:00+05:30,370.7,371.17,360.63,363.68,2716612,0
2010-02-05T00:00:00+05:30,361.86,361.86,352.8,356.2,4607118,0
2010-02-08T00:00:00+05:30,358.91,361.74,348.64,356.52,4170344,0
2010-02-09T00:00:00+05:30,356.94,365.28,354.99,361.93,3005894,0
2010-02-10T00:00:00+05:30,364.27,366.14,358.46,360.53,2337374,0
2010-02-11T00:00:00+05:30,363.31,368.24,361.86,365.65,2413156,0
2010-02-15T00:00:00+05:30,369.25,369.25,363.61,367.35,1956482,0
2010-02-16T00:00:00+05:30,367.89,376.61,365.41,373.26,1660490,0
2010-02-17T00:00:00+05:30,376.58,378.08,370.5,373.5,2528290,0
2010-02-18T00:00:00+05:30,374.17,377.59,371.95,373.58,1814806,0
2010-02-19T00:00:00+05:30,371.66,373.92,367.18,369.52,2215880,0
2010-02-22T00:00:00+05:30,372.69,375.99,371.12,372.82,2143460,0
2010-02-23T00:00:00+05:30,373.68,376.63,369.86,375.2,1853052,0
2010-02-24T00:00:00+05:30,372.2,379.44,370.28,376.8,4076058,0
2010-02-25T00:00:00+05:30,378.99,378.99,374.78,377.25,2672984,0
2010-02-26T00:00:00+05:30,377.66,383.3,367.35,375.06,3015934,0
2010-03-02T00:00:00+05:30,375.15,378.6,371.71,375.74,4053352,0
2010-03-03T00:00:00+05:30,378.6,381.06,376.21,378.48,2754742,0
2010-03-04T00:00:00+05:30,378.11,379.09,372.69,376.09,2053606,0
2010-03-05T00:00:00+05:30,376.63,377.59,374.24,375.45,1287312,0
2010-03-08T00:00:00+05:30,377.91,379.09,374.32,375.5,3015740,0
2010-03-09T00:00:00+05:30,375.65,383.28,375.65,378.45,3457732,0
2010-03-10T00:00:00+05:30,375.99,386.21,374.17,384.04,4587874,0
2010-03-11T00:00:00+05:30,384.04,391.35,380.05,389.73,3214030,0
2010-03-12T00:00:00+05:30,393.86,393.86,389.92,392.36,2510976,0
2010-03-15T00:00:00+05:30,392.36,403.71,389.51,402.72,6054434,0
2010-03-16T00:00:00+05:30,404.45,409.59,401.64,408.14,3088856,0
2010-03-17T00:00:00+05:30,410.6,416.46,408.63,413.9,4174794,0
2010-03-18T00:00:00+05:30,416.02,416.02,403.95,406.59,3724554,0
2010-03-19T00:00:00+05:30,396.45,410.82,396.45,404.15,4716624,0
2010-03-22T00:00:00+05:30,401.2,410.5,396.89,407.45,3310110,0
2010-03-23T00:00:00+05:30,408.63,410.11,404.74,407.97,1694964,0
2010-03-25T00:00:00+05:30,405.73,411.98,402.72,408.53,5517582,0
2010-03-26T00:00:00+05:30,408.63,411.59,404.84,406.19,1997806,0
2010-03-29T00:00:00+05:30,405.68,408.29,398.07,399.75,3443266,0
2010-03-30T00:00:00+05:30,398.1,401.79,392.46,393.86,3097160,0
2010-03-31T00:00:00+05:30,393.86,397.43,382.69,384.34,7083046,0
2010-04-01T00:00:00+05:30,387.14,398.69,385.05,397.7,5781432,0
2010-04-05T00:00:00+05:30,402.23,402.23,393.49,395.51,3001836,0
2010-04-06T00:00:00+05:30,398.24,398.24,390,391.92,3702366,0
2010-04-07T00:00:00+05:30,388.94,398.29,384.58,392.9,3024558,0
2010-04-08T00:00:00+05:30,391.89,397.55,388.94,393.59,4494438,0
2010-04-09T00:00:00+05:30,394.85,397.75,388.08,389.73,3018012,0
2010-04-12T00:00:00+05:30,389.43,393.86,388.99,392.93,2869882,0
2010-04-13T00:00:00+05:30,393.86,405.58,387.58,404.13,8404916,0
2010-04-15T00:00:00+05:30,404.69,411.04,403.24,404.55,4290952,0
2010-04-16T00:00:00+05:30,403.22,407.65,399.7,401.3,3810958,0
2010-04-19T00:00:00+05:30,398.79,406.17,394.23,399.75,6947704,0
2010-04-20T00:00:00+05:30,406.17,409.94,387.46,388.69,12016986,0
2010-04-21T00:00:00+05:30,391.4,393.37,384.14,386.48,7107490,0
2010-04-22T00:00:00+05:30,388.5,390.74,384.51,386.94,4751116,0
2010-04-23T00:00:00+05:30,387.98,389.92,382.78,384.11,4306068,0
2010-04-26T00:00:00+05:30,386.97,389.43,384.11,386.53,2512548,0
2010-04-27T00:00:00+05:30,386.94,388.89,384.53,387.61,2621234,0
2010-04-28T00:00:00+05:30,384.02,385.96,376.63,379.24,2400382,0
2010-04-29T00:00:00+05:30,381.6,381.68,372,374.05,4622964,0
2010-04-30T00:00:00+05:30,376.63,380.47,375.42,376.83,3690224,0
2010-05-03T00:00:00+05:30,374.78,379.78,371.26,377.52,2416560,0
2010-05-04T00:00:00+05:30,381.48,381.48,372.59,374.66,2896028,0
2010-05-05T00:00:00+05:30,369.25,378.11,364.4,377,4371230,0
2010-05-06T00:00:00+05:30,378.08,379.54,373.78,377.66,2580872,0
2010-05-07T00:00:00+05:30,372.69,375.45,361.86,365.01,4267152,0
2010-05-10T00:00:00+05:30,374.17,415.03,366.78,379.22,2327814,0
2010-05-11T00:00:00+05:30,381.55,383.52,371.17,372.35,1351288,0
2010-05-12T00:00:00+05:30,372.69,378.08,369.79,373.9,2740076,0
2010-05-13T00:00:00+05:30,376.68,380.67,374.88,376.93,1321452,0
2010-05-14T00:00:00+05:30,377.12,382.54,371.71,376.06,2026996,0
2010-05-17T00:00:00+05:30,381.53,381.53,361.42,367.15,3722050,0
2010-05-18T00:00:00+05:30,367.28,367.28,357.58,361.91,3199180,0
2010-05-19T00:00:00+05:30,359.4,360.88,352.65,355.21,3929266,0
2010-05-20T00:00:00+05:30,358.91,360.53,352.58,359.4,2398092,0
